k,x_min,y_min,log_height_over_log_k
25,0,5,0.5
26,-1,5,0.494
27,-3,0,0.333
28,-3,1,0.33
30,19,83,1.299
31,-3,2,0.32
33,-2,5,0.46
35,1,6,0.504
36,-3,3,0.307
37,-1,6,0.496
38,11,37,0.993
40,6,16,0.752
41,2,7,0.524
43,-3,4,0.369
44,-2,6,0.473
48,1,7,0.503
49,0,7,0.5
50,-1,7,0.497
52,-3,5,0.407
54,3,9,0.551
55,9,28,0.832
56,2,8,0.517
57,-2,7,0.481
63,-3,6,0.432
64,-4,0,0.333
65,-4,1,0.332
68,-4,2,0.329
71,5,14,0.619
72,-2,8,0.486
73,-4,3,0.323
76,-3,7,0.449
79,45,302,1.307
80,-4,4,0.316
81,0,9,0.5
82,-1,9,0.499
89,-4,5,0.359
91,-3,8,0.461
92,2,10,0.509
94,3,11,0.528
97,18,77,0.95
98,7,21,0.664
99,1,10,0.501
100,-4,6,0.389
101,-1,10,0.499
105,4,13,0.551
106,15,59,0.874
107,13,48,0.828
108,-3,9,0.469
112,9,29,0.714
113,-4,7,0.412
117,3,12,0.522
119,53,386,1.246
120,1,11,0.501
121,0,11,0.5
122,-1,11,0.499
125,-5,0,0.333
126,-5,1,0.333
127,-3,10,0.475
128,-4,8,0.429
129,-5,2,0.331
131,5,16,0.569
132,4,14,0.54
134,-5,3,0.329
136,2,12,0.506
138,31,173,1.046
141,-5,4,0.325
142,3,13,0.518
143,1,12,0.501
144,0,12,0.5
145,-4,9,0.441
148,-3,11,0.48
150,-5,5,0.321
151,105,1076,1.391
152,-2,12,0.495
154,23,111,0.935
156,10,34,0.698
161,-5,6,0.353
163,33,190,1.03
164,-4,10,0.451
168,1,13,0.501
169,0,13,0.5
170,-1,13,0.499
171,-3,12,0.483
172,14,54,0.775
174,-5,7,0.377
177,-2,13,0.496
184,6,20,0.574
185,-4,11,0.459
186,7,23,0.6
188,2,14,0.504
189,-5,8,0.397
190,11,39,0.698
192,4,16,0.527
195,1,14,0.5
196,-3,13,0.486
197,-1,14,0.5
198,3,15,0.512
199,5,18,0.546
204,-2,14,0.496
206,-5,9,0.412
208,-4,12,0.466
216,-6,0,0.333
217,-6,1,0.333
220,-6,2,0.332
223,-3,14,0.488
224,1,15,0.5
225,-6,3,0.331
226,-1,15,0.5
229,3,16,0.51
232,-6,4,0.329
233,-4,13,0.471
236,5,19,0.539
241,-6,5,0.327
246,-5,11,0.436
248,2,16,0.503
249,28,149,0.907
251,25,126,0.875
252,-6,6,0.324
255,1,16,0.5
256,0,16,0.5
257,-1,16,0.5
260,-4,14,0.475
262,3,17,0.509
264,-2,16,0.497
265,-6,7,0.349
268,6,22,0.553
269,-5,12,0.444
271,17,72,0.763
272,8,28,0.594
275,5,20,0.533
280,-6,8,0.369
281,2,17,0.502
282,7,25,0.571
283,-3,16,0.491
288,1,17,0.5
289,-4,15,0.478
290,-1,17,0.5
294,-5,13,0.451
295,9,32,0.609
296,10,36,0.63
297,-6,9,0.386
303,13,50,0.685
313,6,23,0.546
316,-6,10,0.4
320,-4,16,0.481
321,-5,14,0.457
323,1,18,0.5
324,0,18,0.5
325,-1,18,0.5
329,8,29,0.581
332,-2,18,0.498
333,7,26,0.561
334,3,19,0.507
336,4,20,0.515
337,-6,11,0.412
343,-7,0,0.333
344,-7,1,0.333
346,15,61,0.703
347,-7,2,0.333
350,-5,15,0.462
351,-3,18,0.493
352,-7,3,0.332
353,-4,17,0.483
356,32,182,0.886
359,-7,4,0.331
360,-6,12,0.422
361,0,19,0.5
362,-1,19,0.5
366,19,85,0.753
368,-7,5,0.329
369,-2,19,0.498
